regiao;estado;municipio;codigo_mun;capital;porte;populacao;area;densidade_dem;pib;pib_pc;participacao_transf_receita;servidores;comissionados;comissionados_por_servidor;perc_pop_econ_ativa;taxa_empreendedorismo;anos_estudo_empreendedor;jornada_trabalho;gasto_pc_saude;hab_p_medico;exp_vida;gasto_pc_educacao;exp_anos_estudo;nota_ciencias;nota_humanas;nota_linguagem;nota_mat;nota_redacao;idhm;ranking_igm;indice_governanca
SUDESTE;SP;JAGUARIUNA;3524709;0;Médio porte;53069,0;141,39;375,33771836763566;6163747,61;124527,7;65,0;1674,0;74,0;0,04420549581839905;1,12;0,19;8,886760763973939;41,7495420453532;1358,42;1950,73076923077;76,74;1248,42;10,44;486,36222826086953;550,0048913043477;540,5231404958679;511,84848484848516;540,8264462809917;0,8140000000000001;48º;0,6679999999999999
SUL;SC;JARAGUA DO SUL;4208906;0;Grande porte;167300,0;529,45;315,98828973463026;7846725,03;50132,73;55,0;3744,0;156,0;0,041666666666666664;1,24;0,17;8,93761071037951;43,328231406403;815,02;1685,7157894736802;76,92;741,17;10,5;501,9730769230768;552,2027823240593;540,9037313432834;527,0344941956877;566,2686567164178;0,8590000000000001;49º;0,6679999999999999
SUL;SC;TIJUCAS;4218004;0;Pequeno porte 2;36170,0;279,58;129,37263037413263;1202944,6;35540,66;58,0;724,0;110,0;0,15193370165745856;1,04;0,23;7,96896576072384;43,35514842932511;525,43;935,891891891892;77,39;615,23;9,73;481,0875862068965;538,9782758620688;529,7100346020761;495,3608996539792;561,3148788927335;0,757;50º;0,667
SUL;SC;AGROLANDIA;4200200;0;Pequeno porte 1;10427,0;207,55;50,23849674777162;219690,01;22063,88;72,0;231,0;20,0;0,08658008658008658;1,23;0,28;6,46096741206045;45,366650907440004;482,76;1445,0;74,63;718,62;10,65;473,99178082191804;530,5315068493151;508,6319444444442;496,42083333333335;560,2777777777778;0,6729999999999999;51º;0,667
SUL;RS;VERANOPOLIS;4322806;0;Pequeno porte 2;24885,0;289,43;85,97933870020384;869334,31;35845,88;67,0;494,0;50,0;0,10121457489878542;1,21;0,29;8,46293672302001;47,987550314439495;671,68;1439,7647058823497;75,29;668,94;11,94;517,13220338983;557,4971751412429;541,4661016949152;533,7785310734458;612,6553672316384;0,7879999999999999;52º;0,667
SUL;SC;ITA;4208005;0;Pequeno porte 1;6311,0;165,87;38,047868812925785;152370,79;23733,77;87,0;243,0;33,0;0,13580246913580246;1,22;0,38;6,11872614501058;50,7407734368552;1080,87;1595,75;77,73;1262,15;11,12;486,0890625;530,7140625;513,1841269841269;502,6603174603175;534,6031746031746;0,7829999999999999;53º;0,667
SUL;SC;IMBUIA;4207403;0;Pequeno porte 1;6087,0;123,04;49,47171651495449;114084,15;19186,71;86,0;235,0;9,0;0,03829787234042553;1,14;0,47;5,65156002201249;47,360791860938996;767,55;;75,38;719,4;9,49;453,746153846154;501,0820512820514;491,9052631578948;482,6131578947368;529,4736842105264;0,644;54º;0,667
SUDESTE;SP;HOLAMBRA;3519055;0;Pequeno porte 1;13698,0;65,58;208,8746569075938;603033,28;47456,78;57,0;526,0;41,0;0,0779467680608365;1,2;0,2;10,3147214833853;44,7971978835948;803,49;724,777777777778;77,66;1320,04;10,44;516,738;555,3419999999999;538,4602040816327;532,5469387755101;572,4489795918367;0,835;55º;0,6659999999999999
SUL;SC;AGRONOMICA;4200309;0;Pequeno porte 1;5371,0;129,92;41,34082512315271;118681,27;22946,88;78,0;128,0;19,0;0,1484375;1,25;0,49;5,408080026426459;48,7860162261671;559,14;;78,06;780,16;8,5;472,64838709677423;524,2290322580645;499,93225806451625;481,63225806451624;517,4193548387096;0,711;56º;0,665
SUL;PR;MERCEDES;4115853;0;Pequeno porte 1;5437,0;200,86;27,06860499850642;147216,55;27693,11;64,0;235,0;29,0;0,12340425531914893;1,19;0,39;6,683429814553912;51,09072968089539;989,94;535,7;75,57;925,88;11,85;491,6227272727272;553,7727272727271;535,0590909090911;518,4068181818178;570,9090909090909;0,7090000000000001;57º;0,665
SUDESTE;SP;SANTANA DA PONTE PENSA;3547205;0;Pequeno porte 1;1573,0;129,89;12,110247132188777;23338,51;14326,89;90,0;87,0;51,0;0,5862068965517241;1,08;0,29;7,73358475351309;51,682447081055;1645,61;322,0;75,41;1163,41;12,53;456,72;538,96;544,58;506,24;524,0;0,7879999999999999;58º;0,6629999999999999
CENTRO-OESTE;MS;COSTA RICA;5003256;0;Pequeno porte 1;19835,0;4164,12;4,7633113358884955;1054679,58;55995,73;73,0;426,0;258,0;0,6056338028169014;1,09;0,2;7,0970226996630394;45,8927187016228;933,86;;73,64;928,15;9,04;452,39050632911415;505,30189873417686;506,1329032258062;470,8038709677418;464,77419354838713;0,628;59º;0,6629999999999999
SUL;RS;DOIS IRMAOS;4306403;0;Pequeno porte 2;30472,0;65,16;467,64886433394724;1323496,12;44821,73;62,0;665,0;29,0;0,04360902255639098;1,31;0,16;8,60759586845;44,5790283721537;650,2;1659,0;75,87;807,84;9,57;474,813812154696;526,264640883978;521,8348571428572;507,5005714285714;549,3714285714286;0,716;60º;0,662
SUL;RS;MATO QUEIMADO;4312179;0;Pequeno porte 1;1789,0;113,99;15,694359154311783;47141,86;25916,36;91,0;88,0;12,0;0,13636363636363635;0,94;0,56;6,01307708844953;38,1320755444356;1285,02;904,0;77,22;1409,05;9,9;474,73333333333335;498,875;510,44166666666666;469,89166666666665;545,0;0,654;61º;0,662
SUL;PR;CURITIBA;4106902;1;Grande porte;1893997,0;435,04;4353,615759470394;79383343,18;42934,38;39,0;34748,0;544,0;0,015655577299412915;1,14;0,24;10,352861279002802;41,510602825592706;749,97;937,8350100603619;76,3;591,63;10,95;508,6931292517024;562,6075170068035;547,1587029337063;536,4334892584899;577,1914414414415;0,907;62º;0,662
SUDESTE;MG;JUIZ DE FORA;3136702;0;Grande porte;559636,0;1435,75;389,78652272331533;13279245,25;24323,55;54,0;6704,0;713,0;0,106354415274463;1,04;0,23;9,62869156881208;41,424666616645105;840,82;876,926751592357;75,65;467,04;9,91;517,1426327944563;571,5432101616648;550,2546812981544;543,5837030119068;614,3957506420733;0,8;63º;0,6609999999999999
SUL;RS;CAMPO BOM;4303905;0;Médio porte;64553,0;60,51;1066,8154024128244;2168912,24;34242,92;55,0;1694,0;227,0;0,13400236127508855;1,18;0,19;8,04305507431238;44,1494736858702;739,09;850,226666666667;76,11;785,23;9,57;465,1672922252017;543,7490616621982;526,5748633879781;492,15300546448026;549,016393442623;0,721;64º;0,6609999999999999
SUL;SC;ERMO;4205191;0;Pequeno porte 1;2077,0;63,44;32,73959646910467;53739,83;25824,04;84,0;80,0;26,0;0,325;1,2;0,35;5,980533251288049;50,669537489521;1445,53;;73,5;1412,27;10,88;471,085;548,105;513,2105263157894;454,2;556,8421052631579;0,675;65º;0,6609999999999999
SUL;SC;BRUSQUE;4202909;0;Grande porte;125810,0;283,22;444,2129793093708;4391278,2;37650,07;58,0;2060,0;139,0;0,06747572815533981;1,23;0,21;8,57336214015875;42,8412732953405;583,91;2302,28846153846;78,64;553,16;10,18;491,54172099087316;549,1465449804426;535,763636363635;513,5911764705878;555,9358288770053;0,84;66º;0,66
SUDESTE;RJ;ANGRA DOS REIS;3300100;0;Grande porte;191504,0;825,08;232,10355359480292;6116002,0;33699,58;65,0;5384,0;591,0;0,10976968796433878;0,98;0,17;7,645664786032518;40,6128947216733;1271,75;;75,75;724,05;9,0;483,3764336917567;544,6104838709674;528,1035358114233;492,20199456029036;549,1296464188576;0,6709999999999999;67º;0,66
NORDESTE;PE;IPOJUCA;2607208;0;Médio porte;92965,0;527,11;176,36736165126823;8411558,28;95666,34;67,0;2662,0;1907,0;0,7163786626596544;0,82;0,16;6,3463111441528;43,8268980122064;1208,11;521,279069767442;71,44;1779,61;8,65;463,4582781456952;505,1821192052978;503,0766292134829;449,23775280898855;480,9887640449438;0,42;68º;0,659
CENTRO-OESTE;MT;LUCAS DO RIO VERDE;5105259;0;Médio porte;59436,0;3663,99;16,22165999361352;2416420,19;45728,29;57,0;1345,0;101,0;0,07509293680297398;1,14;0,2;8,30385048273485;44,32014103428761;697,28;2754,7;74,96;702,28;10,21;484,034851485149;540,0970297029703;522,6039761431408;502,01053677932464;520,4970178926442;0,7759999999999999;69º;0,659
SUL;SC;PORTO BELO;4213500;0;Pequeno porte 1;19744,0;92,41;213,656530678498;739148,37;40913,78;54,0;500,0;79,0;0,158;1,07;0,32;7,74803819312932;42,8142092546722;521,24;980,526315789474;78,14;934,33;9,91;490,29872611464964;547,8101910828027;533,7961290322582;498,6174193548388;564,0;0,757;70º;0,6579999999999999
SUL;SC;ITAJAI;4208203;0;Grande porte;208958,0;288,29;724,8187588886191;15375830,48;77730,69;52,0;4255,0;474,0;0,11139835487661574;1,13;0,24;8,91972584276648;42,803380774059995;1037,6;832,880165289256;78,02;820,15;10,3;488,4858383433532;549,1853039412158;538,1571428571424;515,8398104265409;570,3249830737982;0,84;71º;0,6579999999999999
SUL;RS;ENTRE RIOS DO SUL;4306957;0;Pequeno porte 1;3052,0;120,07;25,418505871574915;221981,01;71422,46;84,0;169,0;17,0;0,10059171597633136;1,08;0,38;5,2033892794373875;53,97034454543979;1399,07;;76,4;1250,2;10,85;474,2125;521,3458333333333;518,5416666666666;498,17083333333335;515,8333333333334;0,621;72º;0,6579999999999999
SUL;SC;QUILOMBO;4214201;0;Pequeno porte 1;10096,0;280,26;36,023692285734676;452057,0;44081,62;79,0;307,0;32,0;0,10423452768729642;1,26;0,4;5,90369424316171;40,1878975945294;879,09;2040,2;74,93;680,91;9,76;462,0;509,8234234234233;503,6513513513514;464,74774774774767;525,2252252252252;0,685;73º;0,657
SUL;SC;TIMBO;4218202;0;Pequeno porte 2;42045,0;127,41;329,99764539675067;1394682,93;35095,19;52,0;778,0;57,0;0,07326478149100257;1,23;0,19;8,44016990350255;45,21382430936421;549,32;900,333333333333;76,36;570,23;9,19;491,9194528875384;548,2085106382975;536,9111801242232;516,3686335403727;533,4782608695652;0,8140000000000001;74º;0,657
